Date,Open,High,Low,Close,Volume
2016-06-21,1436.75,1452.6,1420.91,1446.53,2520930
2016-06-22,1448.85,1456.29,1428.82,1437.69,2599412
2016-06-23,1438.14,1455.38,1433.97,1451.2,2467250
2016-06-24,1462.84,1471.22,1359.91,1381.78,6781103
2016-06-27,1397.17,1441.88,1397.17,1439.08,4165907
2016-06-28,1429.76,1486.59,1426.03,1472.61,3138789
2016-06-29,1489.36,1490.31,1453.51,1471.67,2900772
2016-06-30,1484.27,1487.52,1473.53,1477.25,3960850
2016-07-01,1486.59,1492.63,1471.22,1492.16,2509872
2016-07-04,1478.2,1504.74,1468.89,1503.34,2138620
2016-07-05,1502.42,1521.52,1501.49,1514.06,2587817
2016-07-06,1493.1,1524.77,1477.25,1521.97,4273483
2016-07-07,1426.03,1447.92,1395.3,1397.63,9237832
2016-07-08,1392.51,1397.17,1344.54,1345.45,6524081
2016-07-11,1375.73,1392.51,1369.22,1385.51,3463879
2016-07-12,1394.37,1399.02,1375.73,1383.66,5801760
2016-07-13,1411.62,1413.93,1385.98,1389.26,3536668
2016-07-14,1391.58,1405.07,1390.19,1403.67,2895510
2016-07-15,1400.89,1400.89,1385.98,1395.3,3188176
2016-07-19,1402.76,1414.87,1395.3,1414.4,3345030
2016-07-20,1407.87,1411.13,1395.3,1410.22,2892292
2016-07-21,1419.5,1420.44,1398.08,1404.15,3119252
2016-07-22,1396.69,1407.87,1389.69,1396.23,2526621
2016-07-25,1395.3,1402.76,1380.38,1396.23,2624749
2016-07-26,1387.85,1394.37,1370.61,1372.94,3091231
2016-07-27,1376.68,1392.51,1370.16,1380.87,2825406
2016-07-28,1373.87,1379.47,1360.37,1368.75,2734686
2016-07-29,1363.63,1385.98,1356.19,1380.38,3519491
2016-08-01,1375.29,1391.11,1369.22,1384.12,2782353
2016-08-02,1378.54,1385.98,1370.61,1371.08,2618199
2016-08-03,1360.84,1367.37,1341.27,1344.07,3731314
2016-08-04,1351.05,1355.26,1330.09,1351.05,3150386
2016-08-05,1351.52,1351.52,1331.5,1331.5,2770221
2016-08-08,1347.8,1347.8,1328.23,1337.07,2383510
2016-08-09,1340.35,1359.44,1337.55,1358.5,2445135
2016-08-10,1364.56,1364.56,1351.05,1357.59,1786157
2016-08-12,1368.29,1383.18,1358.5,1382.73,2742524
2016-08-15,1381.33,1382.25,1364.56,1364.56,2008500
2016-08-16,1364.56,1366.89,1331.96,1331.96,3781236
2016-08-17,1331.96,1334.76,1325.43,1331.5,3300690
